serial_number,contract_number,contract_name,contractor,sales_project,signing_date,contract_amount,product_description,image_file
,,,,,,,,0/png/2db27de1-d5c5-4f89-8572-da697a6329e4_5_0.png
,,,,,,,,0/png/3348953d-66e9-4cac-8675-65bb5f2ef929_5_0.png
37,/,Technical Service Purchase Contract,"Sichuan Yiliao Information Technology Co., Ltd.",Hefei 49.85W,2021.11.18,40000.00,Data Acquisition Services,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
38,/,Purchase Contract,"Yunnan Huajie Technology Co., Ltd.",Kunming 49.8W,2021.12.10,448200.00,"Electronic Data Collection, Call Analysis System",0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
39,/,Technical Service Contract,"Anhui Cloud Exploration Network Technology Co., Ltd.",1. Weifang City GAJ34.9W (Yuan Shu 2W),2021.12.23,14500.00,"TT Landing 500 times, TG Landing 500 times",0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
40,/,Purchase Contract,"Hangzhou Zhining Information Technology Co., Ltd.",Taizhou Huangyan 22W Project,2021.12.24,14285.00,Overseas Account Support Services,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
41,/,Purchase Contract,"Chengdu Sizhao Network Technology Co., Ltd.",Beijing Computer 197W Project,2020.1.7,1871500.00,Fuzzy Testing Platform,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
42,/,Purchase Contract,"Hangzhou Zhishun Technology Co., Ltd.",Taizhou 260W Project,2021.12,350000.00,Pushed Landing System,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
43,/,Product Purchase Contract,"Beijing Xinzhi Shengshi Technology Co., Ltd.",Jiuyuan 45.1W Project,2022.1.6,58000.00,Dell Graphics Workstation,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
44,/,Product Purchase Contract,"Chengdu Bishijia Technology Co., Ltd.",Liangshan Project,2022.1.6,4200.00,Trend Antivirus Software,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
44,NTH-22-002,Purchase Contract,Public Security Bureau Third Research Institute,Taizhou 260W Project,2022.1.6,42000.00,Trend Antivirus Software,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
45,NTH-22-002,Purchase Contract,Public Security Bureau Third Research Institute,Taizhou 260W Project,2022.1.20,480000.00,Unicom ZTE Testing Query System,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
46,ZS202201140002,"Shanghai Yunzhou Information Technology Co., Ltd. Authorization Cooperation Partner Agreement","Shanghai Yunzhou Information Technology Co., Ltd.",/,2022.1.14,20000.00,Authorization for ZStack Product Sales Rights,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
47,AKHW-LYL2011112-02,Purchase Contract,"Chengdu Aike Technology Industry Co., Ltd.",Electric Science (Sichuan Provincial Government) 40W,2021.11.16,63000.00,Server NF5280M5,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
48,/,Technical Service Purchase Contract,"Shenzhen Sijia Technology Co., Ltd.",Shuangguan 44.1W Project,2022.2.25,100000.00,Designated Site Data Services,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
49,/,Purchase Contract,"Chengdu Rongliya Trade Technology Co., Ltd.",Lishui 16.22W Project,2022.4.1,2280.00,Original Sealed,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
49,/,Purchase Contract,"Chengdu Rongliya Trade Technology Co., Ltd.",Lishui 16.22W Project,2022.4.1,2280.00,Original Sealed,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
50,/,Purchase Contract,"Chengdu Shidai Tianyi Electronic Technology Co., Ltd.",Lishui 16.22W Project,2022.4.1,16500.00,Apple Computer,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
,,,,,,,,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_2.png
** 51,** CDNMSJ2022-5,** Purchase Contract,"** Chengdu Chuge Technology Co., Ltd.",** Qidong 14.3W Project,** 2022.5.20,** 9900.00,** Asus Computer,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_3.png
** 52,** CLXK20220620,** Product Sales Contract,"** Sichuan Changle Information Technology Co., Ltd.",** Yangzhou 334W Project,** 2022.6.20,** 84000,"** Deepinfo Firewall, Deepinfo Full Network Behavior Management System, Deepinfo Network Intrusion Defense System",0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_3.png
18,/,Purchase Contract,Xu Yuanchuan,Sichuan Xinxing 39.5W,2020.12.28,343650.00,Atom Remote Management Software,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_1.png
19,/,Technical Service Contract,"Chengdu Zero4 Network Technology Co., Ltd.",Beijing Computer 580W,2021.2.4,5510000.00,Network Equipment Security Testing Project,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_1.png
20,/,Purchase Contract,"Yunnan Sinorail Technology Co., Ltd.",Kunming GA (America) 38.6W,2021.2.4,300000.00,Qianxin Net Sensitivity Analysis and Disposal System,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_1.png
21,/,Technical Service Contract,"China Securities Information Co., Ltd.",Guoanxin 108.6W,2021.5.13,631500.00,System Testing - Requirements Verification,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_1.png
22,TZSM202103,Purchase Contract,"Hunan Ice Age Network Technology Co., Ltd.",Taizhou 137.6W,2021.6,386144.00,Twitter Landing Analysis Platform,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_1.png
22,TZSM202103,Technical Development (Agency) Contract,"Chengdu Wukong Cloud Technology Co., Ltd.",Network Information Security Science Big Data Support Service (Prepayment),2021.5.20,250000.00,Technical Data List,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_1.png
23,/,Technical Development (Agency) Contract,"Chengdu Wukong Cloud Technology Co., Ltd.",Network Information Security Science Big Data Support Service (Prepayment),2021.5.20,250000.00,Technical Data List,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_1.png
24,TZSM202103,Purchase Contract,"Nanjing Fenghuang Aerospace Telecommunications Development Co., Ltd.",Taizhou 137.6W,2021.5.6,287858.00,Public Service for 1 Year,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_1.png
25,/,Purchase Contract,"Shenzhen Huaxin Network Security Technology Co., Ltd.",Lhasa 333.5704w,2021.5,100000.00,Linux Host Management System V1.0,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_1.png
26,CU12-3607-2021-,Purchase Contract,"Nanchang Peninsula Information Technology Co., Ltd.",Tangzhan GAJ 113.49W,2021.7.20,420000.00,"Internet Key Information Disparity System 2 Years, Overseas Pretend Social Media Information Disparity System",0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_1.png
27,CU12-3607-2021-,Purchase Contract,"China United Network Communications Co., Ltd. Tangzhan City Branch",Tangzhan GAJ 113.49W,2021.7.6,98000.00,Domestic Sensitive Harmful Information Inspection Platform,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_1.png
28,000226,Purchase Contract,"Suzhou Huiqin Software Technology Co., Ltd.",Tangzhan GAJ 113.49W,2021.8.26,170000.00,Overseas Sensitive Sample Agile Reporting System 2,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_1.png
28,/,Purchase Contract,"Suzhou Huiqin Software Technology Co., Ltd.",Tangzhan GAJ 113.49W,2021.8.26,170000.00,Overseas Sensitive Sample Agile Reporting System 2,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_1.png
29,/,Purchase Contract,"Hunan Yixiang Software Co., Ltd.",Tangzhan 113.49W,2021.8.6,180000.00,Apple Laptop Detection System,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_1.png
30,/,Purchase Contract,"Chengdu Tianyi Electronic Technology Co., Ltd.",Lhasa 333.5704w,2020.7.17,106900.00,"Apple Laptop Computer, Apple Phone, Apple iMac All-in-One",0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_1.png
31,/,Purchase Contract,"Sichuan Kangbo Technology Co., Ltd.",Lhasa 333.5704w,2020.12.28,1850.00,Switch,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_1.png
32,HH200700002,Product Sales Contract,"Tibet Huaihui Innovation Technology Development Co., Ltd.",Lhasa 333.5704w,2020.7,279580.00,"Tianqing Hanma Firewall, Qinghai Information Security Operation Center 2, Tianqing Intrusion Detection and Management System",0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_1.png
33,/,Technical Service Purchase Contract,"Sichuan Jinzhirui Technology Co., Ltd.",Yuxi 19.8W,2021.7.23,186000.00,"Overseas Social Media Landing System, Hidden Internet Lines",0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_1.png
33,/,Product Sales Contract,"Xiamen Jinzhirui Technology Co., Ltd.",Yuxi 19.8W,2021.7.23,186000.00,"Overseas Social Media Landing System, Hidden Internet Lines",0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_1.png
34,/,Product Sales Contract,"Xiamen Ansheng Network Technology Co., Ltd.",Tangzhan GAJ 113.49W,2021.7.21,160000.00,Internet Remote Investigation Evidence Collection System,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_1.png
35,/,Computer Purchase Contract,"Chengdu Zhongtong Jiayi Technology Co., Ltd.",Shaoan 44.1W,2021.11.3,23000.00,Lenovo Computer,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_1.png
36,/,Purchase Contract,"Xiamen Ansheng Network Technology Co., Ltd.","Science and Technology Co., Ltd. 137.6W",2021.5.19,287858.00,Telegram Collection and Landing System,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_1.png
1,1215000233/1215000235,Purchase Contract,"Beijing Qimingxin Information Security Technology Co., Ltd.",Contract Signing Date: 2016.01.11,2016.01.11,874360.00,SC-CG20150022 Project,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_0.png
2,1215000616/1215000617,Purchase Contract,"Beijing Qimingxin Information Security Technology Co., Ltd.",Contract Signing Date: 2016.01.11,2016.01.11,895800.00,SC-CG20150076 Project,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_0.png
3,Contract Name: Goods Purchase and Sale Contract,Goods Purchase and Sale Contract,"Jiangsu Longchuang Information Technology Co., Ltd.",Contract Signing Date: 2017.0,2017.0,20000.00,Firewall,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_0.png
4,Contract Name: Yagu Mobile Terminal Remote Control Software,Yagu Mobile Terminal Remote Control Software,"Hangzhou Yagu Technology Co., Ltd.",Contract Signing Date: 2017.2,2017.2,111199.00,Yagu Mobile Terminal Remote Control Software,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_0.png
5,2018062802,Technical Service Contract,"Jinan Ruite Anti-terror Equipment Co., Ltd.",Contract Signing Date: 2018.6,2018.6,10000.00,Obtain Specific Email Data Service,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_0.png
6,2018092001,Technical Service Contract,"Shaanxi Oxiang Network Technology Co., Ltd.",Contract Signing Date: 2018.9,2018.9,160000.00,Data Acquisition Service,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_0.png
7,2019050501,Technical Service Consultation Contract,"Fujian Zhongrui Electronic Technology Co., Ltd.",Contract Signing Date: 2019.5,2019.5,120000.00,Sharp Eye Data Analysis Service,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_0.png
8,2019041201,Technical Service Contract,"Yunnan Pintu Technology Co., Ltd.",Contract Signing Date: 2019.4,2019.4,46650.00,Hawk Browser and Network Camera,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_0.png
9,SLSHT1907004,Sonar-X Big Data Analysis Platform Inquiry,"Chengdu Sizai Network Technology Co., Ltd.",Contract Signing Date: 2019.8,2019.8,750000.00,Sonar-X Big Data Analysis Platform Inquiry Technical Service Contract,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_0.png
10,Contract Name: Technical Service Contract,Technical Service Contract,Computer Application Research Institute of China Academy of Engineering Physics,Sichuan Military Science and Technology Collaborative Innovation Platform Data Exchange Interface Specification and Functional Customization Project: 46.9W,2020.1.3,18000.00,Sichuan Military Science and Technology Collaborative Innovation Platform and Sub-platform Data Exchange Interface Specification and Functional Customization Project Software Testing Service,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_0.png
11,Contract Name: Software Development Commission Contract,Software Development Commission Contract,Xu Peng,Contract Signing Date: 2020.5,2020.5,450000.00,PCM Development,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_0.png
12,ZW-2020-CG0,Technical Service Contract,"Jinan Liwairui Information Technology Co., Ltd.",Luoyang Network Security 38W,2020.8.14,120000.00,Data Acquisition Service,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_0.png
14,ZW-2020-CG071001,Software Sales Contract,"Shanghai Carbon Zenith Information Technology Co., Ltd.",Lhasa 333.5704w,2020.9.3,100000.00,Carbon Zenith Laser Depth Security Detection System V4.0 One Year 1 Set,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_0.png
15,2018JFJ006-03,Software Sales Contract,"Shanghai Carbon Zenith Information Technology Co., Ltd.",Yancheng 177W,2020.9.3,300000.00,Carbon Zenith Laser Depth Security Detection System V4.0 Three Years 1 Set,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_0.png
16,GFTJ006-03,Purchase Contract,"Sichuan Changhong Jiahua Information Product Co., Ltd.",Yunnan Hall 26W,2020.12,168000.00,"Server NG400, Kela Network Traceback Analysis System Software V6.0",0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_0.png
17,Contract Name: Service Agreement,Service Agreement,"Hengji (Shandong) Information Consulting Co., Ltd.",Chongqing 69.5W,2021.1,93000.00,Service,0/png/e182d867-dc18-43fd-a418-26dcf784242f_2_0.png
